"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 08 12:38:57 GMT 2023","Wed Mar 08 12:39:07 GMT 2023","9817","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","editar estado projeto","editar estado projeto",""
"passed","Wed Mar 08 12:33:30 GMT 2023","Wed Mar 08 12:33:38 GMT 2023","8132","","Campo Personalizado | Desafio Base2 | Automação Web","","Campo Personalizado | Desafio Base2 | Automação Web","acessar página de campos personalizados","acessar página de campos personalizados",""
"passed","Wed Mar 08 12:41:31 GMT 2023","Wed Mar 08 12:41:41 GMT 2023","9993","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e alterar status - de: novo para: confirmado","criar tarefa e alterar status - de: novo para: confirmado",""
"passed","Wed Mar 08 12:44:32 GMT 2023","Wed Mar 08 12:44:43 GMT 2023","10804","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","buscar usuario pelo login exato","buscar usuario pelo login exato",""
"passed","Wed Mar 08 12:43:34 GMT 2023","Wed Mar 08 12:43:42 GMT 2023","8056","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","criar usuario dados minimos","criar usuario dados minimos",""
"passed","Wed Mar 08 12:41:20 GMT 2023","Wed Mar 08 12:41:31 GMT 2023","10981","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e alterar status - de: novo para: admitido","criar tarefa e alterar status - de: novo para: admitido",""
"passed","Wed Mar 08 12:44:21 GMT 2023","Wed Mar 08 12:44:32 GMT 2023","11085","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","criar usuario - gerente","criar usuario - gerente",""
"passed","Wed Mar 08 12:44:03 GMT 2023","Wed Mar 08 12:44:12 GMT 2023","9081","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","criar usuario - atualizador","criar usuario - atualizador",""
"passed","Wed Mar 08 12:42:12 GMT 2023","Wed Mar 08 12:42:23 GMT 2023","11502","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","reabrir tarefa","reabrir tarefa",""
"passed","Wed Mar 08 12:34:07 GMT 2023","Wed Mar 08 12:34:25 GMT 2023","17842","","Campo Personalizado | Desafio Base2 | Automação Web","","Campo Personalizado | Desafio Base2 | Automação Web","apagar campo personalizado","apagar campo personalizado",""
"passed","Wed Mar 08 12:38:46 GMT 2023","Wed Mar 08 12:38:57 GMT 2023","11514","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","editar nome projeto","editar nome projeto",""
"passed","Wed Mar 08 12:37:42 GMT 2023","Wed Mar 08 12:37:45 GMT 2023","2934","","Marcador | Desafio Base2 | Automação Web","","Marcador | Desafio Base2 | Automação Web","validar filtro alfanumérico","validar filtro alfanumérico",""
"passed","Wed Mar 08 12:41:41 GMT 2023","Wed Mar 08 12:41:51 GMT 2023","10438","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","criar tarefa e alterar status - de: novo para: atribuído","criar tarefa e alterar status - de: novo para: atribuído",""
"passed","Wed Mar 08 12:40:51 GMT 2023","Wed Mar 08 12:41:01 GMT 2023","9352","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","apagar tarefa","apagar tarefa",""
"passed","Wed Mar 08 12:39:19 GMT 2023","Wed Mar 08 12:39:30 GMT 2023","11355","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","habilitar projeto desabilitado","habilitar projeto desabilitado",""
"passed","Wed Mar 08 12:38:35 GMT 2023","Wed Mar 08 12:38:38 GMT 2023","3850","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","acessar pagina de projetos","acessar pagina de projetos",""
"passed","Wed Mar 08 12:37:45 GMT 2023","Wed Mar 08 12:37:49 GMT 2023","4128","","Marcador | Desafio Base2 | Automação Web","","Marcador | Desafio Base2 | Automação Web","criar marcador","criar marcador",""
"passed","Wed Mar 08 12:37:49 GMT 2023","Wed Mar 08 12:37:56 GMT 2023","7425","","Marcador | Desafio Base2 | Automação Web","","Marcador | Desafio Base2 | Automação Web","criar vários marcadores","criar vários marcadores",""
"passed","Wed Mar 08 12:38:38 GMT 2023","Wed Mar 08 12:38:46 GMT 2023","7550","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","criar projeto","criar projeto",""
"passed","Wed Mar 08 12:36:19 GMT 2023","Wed Mar 08 12:36:22 GMT 2023","2689","","Gerais| Desafio Base2 | Automação Web","","Gerais| Desafio Base2 | Automação Web","acessar página de gerenciamento","acessar página de gerenciamento",""
"passed","Wed Mar 08 12:44:43 GMT 2023","Wed Mar 08 12:44:58 GMT 2023","14819","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","excluir usuário","excluir usuário",""
"passed","Wed Mar 08 12:45:23 GMT 2023","Wed Mar 08 12:45:33 GMT 2023","10135","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","buscar usuario pelo email","buscar usuario pelo email",""
"passed","Wed Mar 08 12:42:23 GMT 2023","Wed Mar 08 12:42:34 GMT 2023","10883","","Tarefa | Desafio Base2 | Automação Web","","Tarefa | Desafio Base2 | Automação Web","desassociar tarefa do projeto","desassociar tarefa do projeto",""
"passed","Wed Mar 08 12:45:33 GMT 2023","Wed Mar 08 12:45:48 GMT 2023","14620","","Usuário | Desafio Base2 | Automação Web","","Usuário | Desafio Base2 | Automação Web","criar usuario - Data-Driven","criar usuario - Data-Driven",""
"passed","Wed Mar 08 12:39:41 GMT 2023","Wed Mar 08 12:39:51 GMT 2023","10022","","Projeto | Desafio Base2 | Automação Web","","Projeto | Desafio Base2 | Automação Web","apagar projeto","apagar projeto",""
